objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_timescale_peak_prob,PROBABILITY_FLAG
587722952230174996,0,0.0522,4,10,0.371414,0
587722952230175035,0,0.0,4,10,0.20656,0
587722952230175138,0,0.0003,4,10,0.260862,0
587722952230175145,0,0.0003,4,10,0.354197,0
587722952230175173,0,0.015,4,10,0.181661,0
587722952230240617,0,0.0727,4,10,0.245847,0
587722952230240688,1,0.0022,1,0,0.638331,0
587722952230306064,0,0.0005,4,10,0.128647,0
587722952230371590,0,0.2801,4,10,0.273705,0
587722952230371712,0,0.0068,4,10,0.197778,0
587722952230371830,0,0.4699,4,10,0.185402,0
587722952230437344,15,0.1834,4,10,0.15822,0
587722952230437350,0,0.2865,4,10,0.1318,0
587722952230502748,0,0.4619,4,10,0.363784,0
587722952230502787,1,0.0015,1,0,0.229397,0
587722952230502863,0,0.2209,4,10,0.278195,0
587722952230633809,0,0.019,4,10,0.373768,0
587722952230633836,0,0.4883,4,10,0.195192,0
587722952230633896,0,0.0011,4,10,0.346236,0
587722952230633900,0,0.0169,4,10,0.468126,0
587722952230699058,8,0.0099,4,10,0.23105,0
587722952230699465,0,0.0743,4,10,0.290748,0
587722952230699523,0,0.0989,4,10,0.523775,0
587722952230764758,3,0.5202,4,6,0.102105,0
587722952230764965,0,0.1238,4,10,0.15663,0
587722952230765124,0,0.0002,1,0,0.304774,0
587722952230830334,3,0.1555,4,9,0.13106,0
587722952230830420,0,0.0,4,10,0.202058,0
587722952230830428,0,0.0921,4,10,0.319341,0
587722952230961460,0,0.1204,2,1,0.214619,0
587722952230961709,0,0.0219,4,10,0.215939,0
587722952230961739,1,0.0113,4,10,0.145696,0
587722952231026744,3,0.129,1,0,0.108091,0
587722952231027049,6,0.819,4,9,0.17641,0
587722952231027064,0,0.0024,4,10,0.236638,0
587722952231027067,20,0.605,2,1,0.263225,1
587722952231092543,0,0.0019,4,10,0.261987,0
587722952231092565,20,0.2109,4,6,0.127015,0
587722952231092600,0,0.0032,4,10,0.349261,0
587722952231092703,0,0.5225,4,10,0.219802,0
587722952231092711,0,0.0012,2,1,0.282214,0
587722952231158477,9,0.7771,4,9,0.179187,0
587722952498544717,0,0.0078,1,0,0.207827,0
587722952498544776,0,0.0004,4,10,0.148305,0
587722952498545046,0,0.1324,4,10,0.26002,0
587722952498545078,18,0.2639,4,6,0.142509,0
587722952767045694,20,0.04,4,9,0.102578,0
587722952767046174,11,0.0215,4,10,0.130284,0
587722952767111434,0,0.3857,4,10,0.311688,0
587722952767111581,0,0.0002,4,10,0.165486,0
587722952767111585,0,0.2101,4,10,0.303717,0
587722952767111673,0,0.9949,4,10,0.132853,0
587722952767177102,0,0.0202,4,10,0.310185,0
587722952767242437,17,0.4448,4,10,0.141244,0
587722952767242537,1,0.3462,4,9,0.139851,0
587722952767242546,1,0.4181,4,10,0.266349,0
587722952767242608,0,0.0272,4,10,0.372796,0
587722952767242639,0,0.029,4,10,0.192341,0
587722952767242657,0,0.7883,4,10,0.157019,0
587722952767242686,0,0.0017,4,10,0.168738,0
587722952767242758,0,0.0138,4,10,0.200037,0
587722952767373474,14,0.0021,4,10,0.122794,0
587722952767373781,0,0.1114,4,10,0.36842,0
587722952767439243,0,0.0012,4,10,0.33765,0
587722952767439282,0,0.0209,4,10,0.172431,0
587722952767439305,0,0.0028,4,10,0.254709,0
587722952767439324,1,0.8361,4,10,0.195766,0
587722952767439331,7,0.4855,4,6,0.114726,0
587722952767439393,0,0.0227,4,10,0.361142,0
587722952767439411,10,0.8331,4,9,0.134987,0
587722952767439436,0,0.0209,4,10,0.323857,0
587722952767439450,0,0.0005,4,10,0.29692,0
587722952767504829,0,0.0017,1,0,0.196417,0
587722952767505035,0,0.0049,4,10,0.183604,0
587722952767570312,0,0.2113,4,10,0.209559,0
587722952767570441,12,0.1154,4,9,0.224993,0
587722952767570523,0,0.0199,4,10,0.209553,0
587722952767635743,0,0.0012,4,10,0.483907,0
587722952767635752,0,0.1272,4,10,0.387529,0
587722952767635905,0,0.0195,4,10,0.157884,0
587722952767766571,1,0.6094,1,0,0.143204,0
587722952767766702,15,0.5779,4,10,0.143572,1
587722952767766866,15,0.1927,4,9,0.151753,0
587722952767766870,6,0.0139,4,9,0.188519,0
587722952767766903,0,0.0685,4,10,0.198226,0
587722952767766918,12,0.7073,4,6,0.154249,1
587722952767832448,1,0.0101,2,1,0.107497,0
587722952767897685,19,0.5203,4,10,0.11227,1
587722952767897984,0,0.0056,4,10,0.300206,0
587722952767898021,0,0.4179,4,9,0.18443,0
587722952767898051,0,0.1417,4,10,0.417956,0
587722952767963495,8,0.0017,4,10,0.186317,0
587722952767963539,0,0.0726,4,10,0.284197,0
587722952767963568,0,0.3872,4,10,0.447098,0
587722952767963608,5,0.002,4,10,0.190494,0
587722952768028972,0,0.0107,4,10,0.257629,0
587722953035415909,0,0.0072,1,0,0.326836,0
587722953303916807,7,0.8079,4,10,0.21271,0
587722953303916935,0,0.0015,4,10,0.247823,0
587722953303916991,0,0.377,4,10,0.341378,0
587722953303917016,1,0.1721,4,10,0.189281,0
587722953303917041,0,0.0845,4,10,0.431292,0
587722953303917096,18,0.0126,4,9,0.133036,0
587722953304047869,0,0.0412,4,10,0.25815,0
587722953304113519,0,0.0852,4,10,0.143573,0
587722953304179044,0,0.1087,4,10,0.178102,0
587722953304179083,0,0.0655,4,9,0.179796,0
587722953304179097,0,0.0065,1,0,0.214408,0
587722953304179134,0,0.6647,4,10,0.161735,0
587722953304310091,0,0.376,4,10,0.205513,0
587722953304310184,0,0.0137,4,10,0.319501,0
587722953304310243,0,0.0023,4,10,0.270345,0
587722953304375633,0,0.0511,4,10,0.313629,0
587722953304375639,4,0.5585,3,4,0.132125,0
587722953304375642,0,0.1433,4,10,0.325685,0
587722953304375673,0,0.0171,4,10,0.28788,0
587722953304375746,0,0.1023,4,10,0.451254,0
587722953304375760,0,0.0764,4,10,0.225559,0
587722953304440846,0,0.1179,4,10,0.238192,0
587722953304441261,0,0.1361,4,10,0.375435,0
587722953304506655,20,0.4081,4,7,0.156184,0
587722953304571922,0,0.0867,4,10,0.135233,0
587722953304572015,2,0.4498,4,10,0.164875,0
587722953304572282,0,0.0001,4,10,0.346957,0
587722953304572300,0,0.0001,4,10,0.372177,0
587722953304572365,0,0.0059,4,10,0.240448,0
587722953304637937,0,0.0074,4,10,0.470637,0
587722953304703350,0,0.0009,4,10,0.350762,0
587722953304834385,0,0.0002,4,10,0.440835,0
587722953304900023,0,0.0078,4,10,0.305952,0
587722953572286724,0,0.5363,4,10,0.111728,0
587722953840787640,0,0.1693,4,9,0.134207,0
587722953840918780,0,0.0401,4,10,0.183755,0
587722953840984474,0,0.0004,4,10,0.30632,0
587722953840984479,4,0.4027,4,10,0.154203,0
587722953841049850,0,0.0073,4,10,0.227365,0
587722953841050064,0,0.006,4,10,0.165772,0
587722953841115586,0,0.6832,4,10,0.407023,0
587722953841115614,0,0.4528,4,10,0.276164,0
587722953841246538,3,0.2668,4,10,0.200907,0
587722953841312162,0,0.0197,4,10,0.41598,0
587722953841377570,0,0.1031,4,10,0.328511,0
587722953841442929,9,0.7412,4,10,0.166942,0
587722953841508636,7,0.7587,3,3,0.13912,0
587722953841508803,0,0.0001,4,10,0.355959,0
587722953841639724,0,0.0058,4,10,0.33772,0
587722953841705370,14,0.0646,4,9,0.158759,0
587722953841770855,0,0.0003,4,10,0.283602,0
587722953841770931,0,0.0045,2,1,0.165891,0
587722954109157641,0,0.2308,4,10,0.309336,0
587722954109157681,16,0.7519,4,6,0.129348,1
587722954109157808,0,0.0054,2,1,0.233591,0
587722981734285420,0,0.0017,4,10,0.142799,0
587722981734285458,3,0.0005,4,10,0.223032,0
587722981737431161,0,0.0001,4,10,0.138968,0
587722981740904524,0,0.5643,3,4,0.113551,0
587722981741363294,19,0.6418,3,4,0.131633,0
587722981741363323,1,0.3974,4,10,0.322497,0
587722981741363332,14,0.0084,4,9,0.116632,0
587722981741428748,2,0.0323,4,10,0.110542,0
587722981741428877,6,0.0028,1,0,0.430346,0
587722981741559888,12,0.1036,4,10,0.112822,0
587722981741559942,0,0.0001,4,10,0.311673,0
587722981741559949,20,0.9104,4,6,0.139936,1
587722981741559984,7,0.0023,3,4,0.113881,0
587722981741625481,0,0.0553,1,0,0.237985,0
587722981741625484,17,0.0955,1,0,0.122474,0
587722981741625520,0,0.3922,4,10,0.363853,0
587722981741625545,0,0.4215,4,10,0.416238,0
587722981741625547,0,0.8461,4,10,0.18509,0
587722981741625571,0,0.0,4,10,0.293992,0
587722981741756545,0,0.04,4,10,0.197916,0
587722981741756579,0,0.003,4,10,0.352428,0
587722981741822057,0,0.0352,4,10,0.175606,0
587722981741822062,0,0.1101,4,10,0.195568,0
587722981741822082,0,0.1666,4,10,0.295228,0
587722981741887560,10,0.1027,4,9,0.145514,0
587722981741887592,16,0.8469,4,10,0.139597,1
587722981741887597,0,0.0001,4,10,0.159881,0
587722981741887630,0,0.4429,4,10,0.156676,0
587722981741887707,7,0.0012,4,10,0.13682,0
587722981741953140,0,0.0029,4,10,0.166154,0
587722981742018624,0,0.0008,1,0,0.388106,0
587722981742018628,0,0.1187,4,10,0.280049,0
587722981742018657,0,0.0074,4,10,0.181738,0
587722981742018760,1,0.0035,4,10,0.195122,0
587722981742084303,6,0.2016,4,10,0.185817,0
587722981742149718,0,0.001,4,10,0.378095,0
587722981742149730,0,0.0149,1,0,0.41058,0
587722981742149756,2,0.2265,4,10,0.196827,0
587722981742215240,0,0.0,4,10,0.282142,0
587722981742215251,4,0.3474,4,10,0.240532,0
587722981742215305,8,0.9378,4,9,0.15158,0
587722981742280742,20,0.0449,4,6,0.108955,0
587722981742280762,0,0.0005,4,10,0.185695,0
587722981742280807,19,0.3513,3,3,0.159323,0
587722981742280821,19,0.071,4,10,0.137836,0
587722981742280825,0,0.0016,4,10,0.305707,0
587722981742280827,10,0.1475,4,6,0.118494,0
587722981742280828,0,0.1098,4,10,0.417041,0
587722981742280852,0,0.0037,4,10,0.312279,0
587722981742280865,0,0.0579,4,10,0.148814,0
587722981742280882,11,0.0061,4,9,0.118015,0
587722981742280893,20,0.0,4,10,0.118397,0
587722981742346376,0,0.0013,4,10,0.253429,0
587722981742346378,0,0.2,4,10,0.161999,0
587722981742411864,0,0.0003,1,0,0.347482,0
587722981742477511,0,0.001,1,0,0.22924,0
587722981742477514,10,0.0759,4,6,0.117838,0
587722981742542937,0,0.0003,4,10,0.259722,0
587722981742542953,0,0.0001,4,10,0.181871,0
587722981742542969,0,0.1719,4,10,0.289683,0
587722981742542976,0,0.0318,4,10,0.24566,0
587722981742542987,0,0.0483,4,10,0.189175,0
587722981742608474,0,0.0037,4,10,0.160464,0
587722981742608532,0,0.5197,3,3,0.10988,0
587722981742674044,0,0.6338,3,4,0.124009,0
587722981742805167,0,0.0028,4,10,0.171961,0
587722981742936201,0,0.0002,4,10,0.223099,0
587722981742936247,0,0.0009,4,10,0.283828,0
587722981742936326,0,0.0668,4,10,0.133119,0
587722981742936335,0,0.0018,4,10,0.35109,0
587722981743001771,0,0.0,4,10,0.185787,0
587722981743067266,0,0.0532,4,10,0.251605,0
587722981743067296,0,0.0008,1,0,0.1968,0
587722981743132829,0,0.0006,4,10,0.235567,0
587722981743198320,0,0.2443,2,1,0.208541,0
587722981743198327,0,0.8609,2,1,0.149984,0
587722981743198333,0,0.001,4,10,0.206102,0
587722981743198342,0,0.0465,4,10,0.231653,0
587722981743198442,0,0.0262,4,10,0.112811,0
587722981743198493,0,0.0054,1,0,0.12226,0
587722981743263813,1,0.0238,4,10,0.144763,0
